type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
link	post_page_148582598625640	148582598625640_643591432458085	https://www.facebook.com/148582598625640/posts/643591432458085	"Prefeitura e empresa parceiras em prol do desenvolvimento sustentável  Exposição de arte e palestra marcaram a data comemorativa  http://www.parademinas.mg.gov.br/prefeitura-e-empresa-parceiras-em-prol-do-desenvolvimento-sustentavel/"	https://scontent.xx.fbcdn.net/v/t45.1600-4/c0.0.130.130/p130x130/12503287_6047700330804_844002884_n.png?oh=e3f721d81e07d85479d562f355ad88b9&oe=59D06D71	https://scontent.xx.fbcdn.net/v/t45.1600-4/12503287_6047700330804_844002884_n.png?oh=3d9184e212aaa14c06f08f8fd0ce465b&oe=59CE5238	http://www.parademinas.mg.gov.br/prefeitura-e-empresa-parceiras-em-prol-do-desenvolvimento-sustentavel/	parademinas.mg.gov.br	2016-06-06T17:14:31+0000	1465233271	"2016-06-06 19:14:31"	21	0	21	7	28	0	0	0	0	0	21	0	0	0	0	0	0
photo	post_page_148582598625640	148582598625640_642452232572005	https://www.facebook.com/148582598625640/posts/642452232572005	"Moradores da rua João do Neto  no Centro da cidade  procuraram a Prefeitura para solucionar um problema de bueiro entupido. O local concentra um grande número de oficinas e empresas automotivas que trabalham com óleo e graxa. Apesar de seguirem as normas para a destinação do material  uma parte ainda vai para bueiros que entopem e causam transtornos como inundações. Em caso de bueiro entupido entre em contato com a Secretaria de Obras."	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13346646_642452232572005_611645670168478384_n.jpg?oh=6f784dee1964a4a1693f73875693bddc&oe=5A0BA84B	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/13346646_642452232572005_611645670168478384_n.jpg?oh=042b7bc6988dbb5b7706e131a413ef50&oe=5A050EBC	https://www.facebook.com/PrefeituraDeParaDeMinas/photos/a.150980985052468.35725.148582598625640/642452232572005/?type=3	facebook.com	2016-06-03T20:24:13+0000	1464985453	"2016-06-03 22:24:13"	17	4	17	8	29	4	4	0	4	0	17	0	0	0	0	0	0
photo	post_page_148582598625640	148582598625640_642451982572030	https://www.facebook.com/148582598625640/posts/642451982572030	"Hoje começou a segunda etapa de construção do trecho de acesso ao trevo do bairro Serra Verde. Uma equipe da empresa responsável pela obra realizou marcações topográficas  onde futuramente  será a pista de acesso. Menos tempo na estrada e mais tempo com a família."	https://scontent.xx.fbcdn.net/v/t1.0-0/q89/s130x130/13315341_642451982572030_80906189062932892_n.jpg?oh=a2f8818989e57a72db3b0910f2998e15&oe=5A078925	https://scontent.xx.fbcdn.net/v/t1.0-9/q85/s720x720/13315341_642451982572030_80906189062932892_n.jpg?oh=e186eaceeed1b6d2302bed529580bda3&oe=59CC254B	https://www.facebook.com/PrefeituraDeParaDeMinas/photos/a.150980985052468.35725.148582598625640/642451982572030/?type=3	facebook.com	2016-06-03T20:23:44+0000	1464985424	"2016-06-03 22:23:44"	23	1	23	27	51	1	1	0	0	0	23	0	0	0	0	0	0
link	post_page_148582598625640	148582598625640_642446352572593	https://www.facebook.com/148582598625640/posts/642446352572593	"Senar oferece curso de culinária para usuárias do SOVIDA  Curso visa proporcionar nova perspectiva de vida para usuária da unidade terapêutica  http://www.parademinas.mg.gov.br/senar-oferece-curso-de-culinaria-para-usuarias-do-sovida/"	https://external.xx.fbcdn.net/safe_image.php?d=AQAqzAAk4mHocNOW&w=130&h=130&url=http%3A%2F%2Fi0.wp.com%2Fwww.parademinas.mg.gov.br%2Fwp-content%2Fuploads%2F2016%2F06%2FIMG-20160603-WA0009-Copy.jpg%3Ffit%3D706%252C530&cfs=1&sx=131&sy=0&sw=530&sh=530&_nc_hash=AQCKCxIbXAqXFmLf	https://external.xx.fbcdn.net/safe_image.php?d=AQD-fy57LPM9zc5B&url=http%3A%2F%2Fi0.wp.com%2Fwww.parademinas.mg.gov.br%2Fwp-content%2Fuploads%2F2016%2F06%2FIMG-20160603-WA0009-Copy.jpg%3Ffit%3D706%252C530&_nc_hash=AQBDK6mql8FkNtVd	http://www.parademinas.mg.gov.br/senar-oferece-curso-de-culinaria-para-usuarias-do-sovida/	parademinas.mg.gov.br	2016-06-03T20:00:32+0000	1464984032	"2016-06-03 22:00:32"	12	0	13	6	19	0	0	0	0	0	12	0	1	0	0	0	0
link	post_page_148582598625640	148582598625640_642445685905993	https://www.facebook.com/148582598625640/posts/642445685905993	"Fim de semana com duas sessões no Teatro Municipal  Sucesso em programa de rádio chega aos palcos pará-minenses  http://www.parademinas.mg.gov.br/fim-de-semana-com-duas-sessoes-no-teatro-municipal/"	https://external.xx.fbcdn.net/safe_image.php?d=AQCRjIx1yRZ4hwmk&w=130&h=130&url=http%3A%2F%2Fi1.wp.com%2Fwww.parademinas.mg.gov.br%2Fwp-content%2Fuploads%2F2016%2F06%2F13151519_632569303560298_6808772989225580874_n.jpg%3Ffit%3D686%252C960&cfs=1&sx=0&sy=0&sw=686&sh=686&_nc_hash=AQAJgpLH1Taxjy0u	https://external.xx.fbcdn.net/safe_image.php?d=AQDp16hsxQOkEQW0&url=http%3A%2F%2Fi1.wp.com%2Fwww.parademinas.mg.gov.br%2Fwp-content%2Fuploads%2F2016%2F06%2F13151519_632569303560298_6808772989225580874_n.jpg%3Ffit%3D686%252C960&_nc_hash=AQB6n2KUx0gmypVu	http://www.parademinas.mg.gov.br/fim-de-semana-com-duas-sessoes-no-teatro-municipal/	parademinas.mg.gov.br	2016-06-03T19:57:17+0000	1464983837	"2016-06-03 21:57:17"	5	0	5	5	10	0	0	0	0	0	5	0	0	0	0	0	0
link	post_page_148582598625640	148582598625640_638665669617328	https://www.facebook.com/148582598625640/posts/638665669617328	"Escola do campo incentiva a leitura  Como resultado  alunos desenvolvem criatividade e linguagem oral  http://www.parademinas.mg.gov.br/escola-do-campo-incentiva-a-leitura/"	https://scontent.xx.fbcdn.net/v/t45.1600-4/c0.0.130.130/p130x130/12480898_6046990242404_233197587_n.png?oh=c761e883774237157fc509aa0d5ca23d&oe=5A0C1017	https://scontent.xx.fbcdn.net/v/t45.1600-4/12480898_6046990242404_233197587_n.png?oh=1dc4ec52f261ec5e596c1323cbad3c0f&oe=5A006C5E	http://www.parademinas.mg.gov.br/escola-do-campo-incentiva-a-leitura/	parademinas.mg.gov.br	2016-05-25T13:02:34+0000	1464181354	"2016-05-25 15:02:34"	22	0	22	3	25	0	0	0	0	0	21	0	0	0	0	0	0
link	post_page_148582598625640	148582598625640_638664392950789	https://www.facebook.com/148582598625640/posts/638664392950789	"Educação Financeira com criatividade na rede municipal de ensino  Programa implantado pela Prefeitura visa a formação de consumidores conscientes e responsáveis  http://www.parademinas.mg.gov.br/educacao-financeira-com-criatividade-na-rede-municipal-de-ensino/"	https://scontent.xx.fbcdn.net/v/t45.1600-4/c34.0.130.130/p130x130/12726655_6046990214404_928140071_n.png?oh=7d1114e25b1e3438d2242853bb595cb3&oe=59C87854	https://scontent.xx.fbcdn.net/v/t45.1600-4/12726655_6046990214404_928140071_n.png?oh=77d2e873fc4f578a902561914e15c092&oe=5A10542C	http://www.parademinas.mg.gov.br/educacao-financeira-com-criatividade-na-rede-municipal-de-ensino/	parademinas.mg.gov.br	2016-05-25T12:59:12+0000	1464181152	"2016-05-25 14:59:12"	28	0	28	7	35	0	0	0	0	0	27	0	0	0	0	0	0
link	post_page_148582598625640	148582598625640_638658669618028	https://www.facebook.com/148582598625640/posts/638658669618028	"Escola São Judas Tadeu recebe Projeto Cultivando a Paz  Projeto capacitará alunos para identificarem e evitarem situações de violência  http://www.parademinas.mg.gov.br/escola-sao-judas-tadeu-recebe-projeto-cultivando-a-paz/"	https://scontent.xx.fbcdn.net/v/t45.1600-4/c0.0.130.130/p130x130/12601001_6046990190404_2079737234_n.png?oh=ce1b4625bd7f8e6cd95c4794d261b229&oe=5A09EF3D	https://scontent.xx.fbcdn.net/v/t45.1600-4/12601001_6046990190404_2079737234_n.png?oh=0cd0c0c60522b19d374cf1f9fd552870&oe=59D7CE06	http://www.parademinas.mg.gov.br/escola-sao-judas-tadeu-recebe-projeto-cultivando-a-paz/	parademinas.mg.gov.br	2016-05-25T12:47:38+0000	1464180458	"2016-05-25 14:47:38"	15	0	15	1	16	0	0	0	0	0	15	0	0	0	0	0	0
photo	post_page_148582598625640	148582598625640_638382839645611	https://www.facebook.com/148582598625640/posts/638382839645611	"O encontro entre crianças e idosos gera uma troca de experiências e de vivência tão intensa  que o resultado só pode ser o bem-estar e alegria. Os socioeducandos do PROMAF do Santos Dumont visitaram os idosos da Cidade Ozanan  em uma interação entre gerações que desperta o melhor: o espírito jovem que existe em cada um de nós e a consciência a respeito do nosso próprio futuro."	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/13241363_638382839645611_4227465318255710804_n.jpg?oh=0d8a7685216a1e1ff7e6d6cceb474e32&oe=59C9F4B1	https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/13241363_638382839645611_4227465318255710804_n.jpg?oh=6f91a3d1589c6db1f57256cd86550c7b&oe=59CE414E	https://www.facebook.com/PrefeituraDeParaDeMinas/photos/a.150980985052468.35725.148582598625640/638382839645611/?type=3	facebook.com	2016-05-24T20:10:53+0000	1464120653	"2016-05-24 22:10:53"	175	5	175	13	193	5	5	0	0	0	169	0	0	0	0	0	0
photo	post_page_148582598625640	148582598625640_638381196312442	https://www.facebook.com/148582598625640/posts/638381196312442	"Ao longo dos meses de abril e maio as escolas municipais e Centros Municipais de Educação Infantil (CMEI) tiveram programação intensa. O Projeto Minas em Destaque em o objetivo de valorizar Minas Gerais em todos aspectos da sua cultura  política e história. Ao todo  13 instituições de ensino desenvolveram atividades lúdicas e exposições."	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/13267962_638381196312442_8368129910562456787_n.jpg?oh=ba6bbb53edacf824ea7232441da2c960&oe=5A06C582	https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/13267962_638381196312442_8368129910562456787_n.jpg?oh=8b12c8320db03382e79c1e265d00b878&oe=59CC247D	https://www.facebook.com/PrefeituraDeParaDeMinas/photos/a.150980985052468.35725.148582598625640/638381196312442/?type=3	facebook.com	2016-05-24T20:03:43+0000	1464120223	"2016-05-24 22:03:43"	50	3	50	9	62	3	3	0	1	0	48	0	0	0	0	0	0
