day	posts	likes	reactions	comments	shares
2016-01-04	2	26	26	0	6
2016-01-05	1	12	12	1	8
2016-01-06	3	54	54	3	44
2016-01-07	3	37	37	0	29
2016-01-08	1	30	30	3	25
2016-01-09	0	0	0	0	0
2016-01-10	0	0	0	0	0
2016-01-11	4	86	86	13	91
2016-01-12	1	14	14	0	4
2016-01-13	5	55	55	0	32
2016-01-14	2	24	24	3	21
2016-01-15	6	62	62	6	22
2016-01-16	0	0	0	0	0
2016-01-17	0	0	0	0	0
2016-01-18	3	49	49	0	27
2016-01-19	3	48	48	3	20
2016-01-20	1	16	16	0	11
2016-01-21	0	0	0	0	0
2016-01-22	3	21	21	0	10
2016-01-23	1	1	1	0	0
2016-01-24	0	0	0	0	0
2016-01-25	7	78	78	3	74
2016-01-26	5	49	49	1	49
2016-01-27	6	44	44	0	35
2016-01-28	2	8	8	0	7
2016-01-29	8	88	88	3	69
2016-01-30	0	0	0	0	0
2016-01-31	0	0	0	0	0
2016-02-01	6	72	72	2	49
2016-02-02	1	11	11	0	11
2016-02-03	2	23	23	1	7
2016-02-04	3	32	32	1	18
2016-02-05	1	16	16	0	14
2016-02-06	0	0	0	0	0
2016-02-07	0	0	0	0	0
2016-02-08	0	0	0	0	0
2016-02-09	0	0	0	0	0
2016-02-10	0	0	0	0	0
2016-02-11	2	28	28	0	14
2016-02-12	2	35	35	0	28
2016-02-13	0	0	0	0	0
2016-02-14	0	0	0	0	0
2016-02-15	3	43	43	2	23
2016-02-16	1	16	16	0	9
2016-02-17	1	14	14	0	9
2016-02-18	3	55	55	7	58
2016-02-19	3	43	43	0	48
2016-02-20	0	0	0	0	0
2016-02-21	0	0	0	0	0
2016-02-22	5	92	92	7	63
2016-02-23	2	19	19	0	14
2016-02-24	5	62	62	1	57
2016-02-25	5	53	54	1	34
2016-02-26	3	29	29	4	16
2016-02-27	0	0	0	0	0
2016-02-28	0	0	0	0	0
2016-02-29	3	39	39	0	15
2016-03-01	4	70	71	2	62
2016-03-02	1	17	17	0	4
2016-03-03	4	59	59	0	44
2016-03-04	4	42	42	0	33
2016-03-05	0	0	0	0	0
2016-03-06	0	0	0	0	0
2016-03-07	3	36	36	3	33
2016-03-08	9	97	97	6	49
2016-03-09	4	54	55	1	37
2016-03-10	10	104	104	0	77
2016-03-11	7	81	81	0	41
2016-03-12	0	0	0	0	0
2016-03-13	0	0	0	0	0
2016-03-14	5	108	109	43	32
2016-03-15	3	49	49	0	31
2016-03-16	5	194	195	13	61
2016-03-17	2	64	66	2	26
2016-03-18	0	0	0	0	0
2016-03-19	0	0	0	0	0
2016-03-20	0	0	0	0	0
2016-03-21	0	0	0	0	0
2016-03-22	0	0	0	0	0
2016-03-23	0	0	0	0	0
2016-03-24	0	0	0	0	0
2016-03-25	0	0	0	0	0
2016-03-26	0	0	0	0	0
2016-03-27	0	0	0	0	0
2016-03-28	0	0	0	0	0
2016-03-29	0	0	0	0	0
2016-03-30	0	0	0	0	0
2016-03-31	0	0	0	0	0
2016-04-01	0	0	0	0	0
2016-04-02	0	0	0	0	0
2016-04-03	0	0	0	0	0
2016-04-04	0	0	0	0	0
2016-04-05	0	0	0	0	0
2016-04-06	0	0	0	0	0
2016-04-07	0	0	0	0	0
2016-04-08	0	0	0	0	0
2016-04-09	0	0	0	0	0
2016-04-10	0	0	0	0	0
2016-04-11	0	0	0	0	0
2016-04-12	0	0	0	0	0
2016-04-13	0	0	0	0	0
2016-04-14	0	0	0	0	0
2016-04-15	0	0	0	0	0
2016-04-16	0	0	0	0	0
2016-04-17	0	0	0	0	0
2016-04-18	0	0	0	0	0
2016-04-19	0	0	0	0	0
2016-04-20	0	0	0	0	0
2016-04-21	0	0	0	0	0
2016-04-22	0	0	0	0	0
2016-04-23	0	0	0	0	0
2016-04-24	0	0	0	0	0
2016-04-25	0	0	0	0	0
2016-04-26	0	0	0	0	0
2016-04-27	0	0	0	0	0
2016-04-28	0	0	0	0	0
2016-04-29	0	0	0	0	0
2016-04-30	0	0	0	0	0
2016-05-01	0	0	0	0	0
2016-05-02	0	0	0	0	0
2016-05-03	0	0	0	0	0
2016-05-04	0	0	0	0	0
2016-05-05	0	0	0	0	0
2016-05-06	0	0	0	0	0
2016-05-07	0	0	0	0	0
2016-05-08	0	0	0	0	0
2016-05-09	0	0	0	0	0
2016-05-10	5	67	68	1	43
2016-05-11	7	224	228	10	65
2016-05-12	5	123	125	6	49
2016-05-13	8	174	174	7	64
2016-05-14	0	0	0	0	0
2016-05-15	0	0	0	0	0
2016-05-16	6	160	160	6	46
2016-05-17	6	248	250	2	40
2016-05-18	6	158	161	7	64
2016-05-19	7	184	185	4	58
2016-05-20	0	0	0	0	0
2016-05-21	0	0	0	0	0
2016-05-22	0	0	0	0	0
2016-05-23	0	0	0	0	0
2016-05-24	10	447	454	15	98
2016-05-25	3	65	65	0	11
2016-05-26	0	0	0	0	0
2016-05-27	0	0	0	0	0
2016-05-28	0	0	0	0	0
2016-05-29	0	0	0	0	0
2016-05-30	0	0	0	0	0
2016-05-31	0	0	0	0	0
2016-06-01	0	0	0	0	0
2016-06-02	0	0	0	0	0
2016-06-03	4	57	58	5	46
2016-06-04	0	0	0	0	0
2016-06-05	0	0	0	0	0
2016-06-06	1	21	21	0	7
2016-06-07	0	0	0	0	0
