position	post_id	post_by	post_text	post_published	comment_id	comment_by	is_reply	comment_message	comment_published	comment_like_count	attachment_type	attachment_url
0_0	148582598625640_867070913443468	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Pará de Minas poderá ter cursos de engenharia.  Cursos Superiores serão oferecidos pela UFV.  Saiba mais: https://goo.gl/Fz5pvx"	2017-07-05T23:00:00+0000	867070913443468_867164233434136	054f021b6f92d094c07ca7643a0dfdfa7e3e1c1e	0	"Parabéns Elias Diniz, por essa bela iniciativa! Pará de Minas necessita e merece uma Universidade Federal!"	2017-07-05T23:49:42+0000	0		
0_1	148582598625640_867070913443468	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Pará de Minas poderá ter cursos de engenharia.  Cursos Superiores serão oferecidos pela UFV.  Saiba mais: https://goo.gl/Fz5pvx"	2017-07-05T23:00:00+0000	867070913443468_867453756738517	54b66059b893db5928d380e1e7b6dee83b471e0d	0	"Parabéns Elias Diniz agindo assim pelo bem da população"	2017-07-06T10:41:36+0000	0		
0_2	148582598625640_867070913443468	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Pará de Minas poderá ter cursos de engenharia.  Cursos Superiores serão oferecidos pela UFV.  Saiba mais: https://goo.gl/Fz5pvx"	2017-07-05T23:00:00+0000	867070913443468_867197793430780	9da4cb61e29bc125000b7da106ef1f18fd2521b4	1	"Massa demais!"	2017-07-06T01:14:43+0000	1		
0_3	148582598625640_867070913443468	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Pará de Minas poderá ter cursos de engenharia.  Cursos Superiores serão oferecidos pela UFV.  Saiba mais: https://goo.gl/Fz5pvx"	2017-07-05T23:00:00+0000	867070913443468_867196800097546	fe30ad345bc7bc897591fb4e2bd6c82e6080858c	0	"Henrique Loregian massa isso ai!"	2017-07-06T01:11:57+0000	1		
0_4	148582598625640_867070913443468	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Pará de Minas poderá ter cursos de engenharia.  Cursos Superiores serão oferecidos pela UFV.  Saiba mais: https://goo.gl/Fz5pvx"	2017-07-05T23:00:00+0000	867070913443468_867196753430884	f60fb39e5990bad8b7cec087f891c2e29fcb6131	1	👏👏👏	2017-07-06T01:11:51+0000	0		
0_5	148582598625640_867070913443468	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Pará de Minas poderá ter cursos de engenharia.  Cursos Superiores serão oferecidos pela UFV.  Saiba mais: https://goo.gl/Fz5pvx"	2017-07-05T23:00:00+0000	867070913443468_867194660097760	feeb216a62596f4362cb01220026482ad674f1af	0	"Luiz Carlos"	2017-07-06T01:05:28+0000	1		
0_6	148582598625640_867070913443468	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Pará de Minas poderá ter cursos de engenharia.  Cursos Superiores serão oferecidos pela UFV.  Saiba mais: https://goo.gl/Fz5pvx"	2017-07-05T23:00:00+0000	867070913443468_867373003413259	480f5069dc0a15929ffb7c3504d3be528cb08e78	0	Parabéns	2017-07-06T06:47:59+0000	0		
0_7	148582598625640_867070913443468	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Pará de Minas poderá ter cursos de engenharia.  Cursos Superiores serão oferecidos pela UFV.  Saiba mais: https://goo.gl/Fz5pvx"	2017-07-05T23:00:00+0000	867070913443468_867224796761413	9ef2f2654084778dbcd9073b94e449eb38e7c9f5	0	Matheus	2017-07-06T02:11:30+0000	0		
0_8	148582598625640_867070913443468	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Pará de Minas poderá ter cursos de engenharia.  Cursos Superiores serão oferecidos pela UFV.  Saiba mais: https://goo.gl/Fz5pvx"	2017-07-05T23:00:00+0000	867070913443468_867201303430429	743e81a3bfc65194f9ef2365d328281e673b6f4f	0	Parabéns!	2017-07-06T01:24:48+0000	0		
0_9	148582598625640_867070913443468	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Pará de Minas poderá ter cursos de engenharia.  Cursos Superiores serão oferecidos pela UFV.  Saiba mais: https://goo.gl/Fz5pvx"	2017-07-05T23:00:00+0000	867070913443468_867541220063104	367a6d7cf809192b2548f4009ce1c8bf02bacd31	0	Parabéns	2017-07-06T13:41:36+0000	0		
0_10	148582598625640_867070913443468	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Pará de Minas poderá ter cursos de engenharia.  Cursos Superiores serão oferecidos pela UFV.  Saiba mais: https://goo.gl/Fz5pvx"	2017-07-05T23:00:00+0000	867070913443468_867467763403783	476fa9f2b559cf552488fb929c38a1bd03b19d5f	0	"Harley Silva"	2017-07-06T11:19:43+0000	0		
0_11	148582598625640_867070913443468	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Pará de Minas poderá ter cursos de engenharia.  Cursos Superiores serão oferecidos pela UFV.  Saiba mais: https://goo.gl/Fz5pvx"	2017-07-05T23:00:00+0000	867070913443468_867200813430478	d94833d82a1470514090385e224f43833e4b4a83	0	"Cássio Rabelo"	2017-07-06T01:23:20+0000	0		
0_12	148582598625640_867070913443468	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Pará de Minas poderá ter cursos de engenharia.  Cursos Superiores serão oferecidos pela UFV.  Saiba mais: https://goo.gl/Fz5pvx"	2017-07-05T23:00:00+0000	867070913443468_867349010082325	a624285e434e2543fefb2af6ddca78fd8b9962ca	0	"Hugo Emanuel"	2017-07-06T05:46:09+0000	0		
0_13	148582598625640_867070913443468	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Pará de Minas poderá ter cursos de engenharia.  Cursos Superiores serão oferecidos pela UFV.  Saiba mais: https://goo.gl/Fz5pvx"	2017-07-05T23:00:00+0000	867070913443468_867464123404147	e5ee0f058f4660521d8cfd5b0f1f4edbce1a0708	0	"Luiz Pinheiro"	2017-07-06T11:11:17+0000	0		
3_0	148582598625640_866483080168918	6318a3e2f296275f59610d52e95f7b0804bf94e7	"Curso de artesanato é oferecido pela Prefeitura  em parceria com a PIF PAF Alimentos e Sesi/Senai.  Inscrições começam amanhã. Vagas são limitadas.  Saiba mais: https://goo.gl/WQuyq1"	2017-07-04T23:00:00+0000	866483080168918_866792343471325	b2d11d7e4693fed1bb5ba5b17b957b6193fba415	0	"Carla Abreu Campos.....VC que é prendada, vale a pena conhecer outras artes.Envia prá Silvana....No zap,não sei como fazer....ok? Obrigada"	2017-07-05T09:56:24+0000	0		
