type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
photo	post_page_148582598625640	148582598625640_791822564301637	https://www.facebook.com/148582598625640/posts/791822564301637	"No Dia Internacional da Mulher a Prefeitura preparou uma programação especial. Participe!  Saiba mais: https://goo.gl/8VY17F   #DeOlhoNaProgramação"	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/17156107_791822564301637_5529920480124109308_n.png?oh=ccfcfe730c6546709e2978a7845eee95&oe=59C40728	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/17156107_791822564301637_5529920480124109308_n.png?oh=2de8720f047cf6a570c55c2dd15bb27f&oe=59D547D7	https://www.facebook.com/PrefeituraDeParaDeMinas/photos/a.150980985052468.35725.148582598625640/791822564301637/?type=3	facebook.com	2017-03-07T11:28:20+0000	1488886100	"2017-03-07 12:28:20"	11	2	11	3	16	1	1	0	1	0	11	0	0	0	0	0	0
link	post_page_148582598625640	148582598625640_791470411003519	https://www.facebook.com/148582598625640/posts/791470411003519	"Objetivo é possibilitar o aumento dos atendimentos aos pacientes da região e acabar com o sofrimento de quem aguarda a realização de exames e cirurgias.  Leia a matéria na íntegra: https://goo.gl/TpeHzn   #JuntosPorUmaCidadeMelhor"	https://external.xx.fbcdn.net/safe_image.php?d=AQDInwBiElifrtmB&w=130&h=130&url=http%3A%2F%2Fwww.parademinas.mg.gov.br%2Fwp-content%2Fuploads%2F2017%2F03%2FDSC_0373.png&cfs=1&sx=270&sy=0&sw=530&sh=530&_nc_hash=AQDYsSoXeuteUTT2	https://external.xx.fbcdn.net/safe_image.php?d=AQDCsOgmRBKdLseH&url=http%3A%2F%2Fwww.parademinas.mg.gov.br%2Fwp-content%2Fuploads%2F2017%2F03%2FDSC_0373.png&_nc_hash=AQAfiVUjcKV3wIto	https://goo.gl/TpeHzn	goo.gl	2017-03-06T20:09:42+0000	1488830982	"2017-03-06 21:09:42"	27	3	27	18	48	3	3	0	0	0	27	0	0	0	0	0	0
photo	post_page_148582598625640	148582598625640_791387307678496	https://www.facebook.com/148582598625640/posts/791387307678496	"Venha participar conosco da abertura da exposição dos artistas José Efigênio Pinto Coelho e Ângela Xavier.  #DeOlhoNaAgenda"	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/17156156_791387307678496_590285955451411751_n.jpg?oh=903f448e927b3cb981812783aa989f5d&oe=59D6146D	https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/17156156_791387307678496_590285955451411751_n.jpg?oh=3a1cb7df9468d88fe938957fb01cd558&oe=59C8449A	https://www.facebook.com/PrefeituraDeParaDeMinas/photos/a.150980985052468.35725.148582598625640/791387307678496/?type=3	facebook.com	2017-03-06T18:53:10+0000	1488826390	"2017-03-06 19:53:10"	8	4	8	29	41	3	3	0	0	0	8	0	0	0	0	0	0
photo	post_page_148582598625640	148582598625640_791264184357475	https://www.facebook.com/148582598625640/posts/791264184357475	"#FiqueLigado  Vem aí a 3ª Mostra de Cenas Curtas! 🎭  Acesse o regulamento e o formulário de inscrição: https://goo.gl/4m910D"	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/17156081_791264184357475_5991491028478023769_n.jpg?oh=3c48a89f0d99da92b171a98839c4c45b&oe=5A0A8867	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/17156081_791264184357475_5991491028478023769_n.jpg?oh=ab2f9b50162725e6c35e60ed9b19a528&oe=59C99598	https://www.facebook.com/PrefeituraDeParaDeMinas/photos/a.150980985052468.35725.148582598625640/791264184357475/?type=3	facebook.com	2017-03-06T11:52:14+0000	1488801134	"2017-03-06 12:52:14"	7	0	7	5	12	0	0	0	0	0	7	0	0	0	0	0	0
photo	post_page_148582598625640	148582598625640_790013231149237	https://www.facebook.com/148582598625640/posts/790013231149237	"#FiqueLigado  Teatro Municipal Geraldina Campos de Almeida já tem data para a reabertura.  Espetáculos infantis e adultos abrem a temporada 2017 com entrada gratuita.  A retirada dos ingressos começa nesta segunda-feira dia 6. Corra e garanta já o seu!  Saiba mais: https://goo.gl/l7V6qK"	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/16938824_790013231149237_614620678443618622_n.png?oh=a72ddf41c04f9f1111fd4ee43b9342f0&oe=59C9F54A	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/16938824_790013231149237_614620678443618622_n.png?oh=76f78b5eebe241c8eac84005e494ad32&oe=59CDEBBD	https://www.facebook.com/PrefeituraDeParaDeMinas/photos/a.150980985052468.35725.148582598625640/790013231149237/?type=3	facebook.com	2017-03-04T13:00:01+0000	1488632401	"2017-03-04 14:00:01"	4	3	4	0	7	2	2	0	1	0	4	0	0	0	0	0	0
video	post_page_148582598625640	148582598625640_789973677819859	https://www.facebook.com/148582598625640/posts/789973677819859	"Tá afim de aprender a desenhar e a pintar?  Participe dos cursos da Escola de Artes e Ofícios SICA.  Se liga! As vagas são limitadas!"	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/17093715_789976247819602_6959021688780488704_n.jpg?oh=c7be4477a0735ac08806dbb35c88a5a1&oe=59CB7059	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/17093715_789976247819602_6959021688780488704_n.jpg?oh=ccd9f7651aaa023e03fbf155a3b08550&oe=59D863E3	https://www.facebook.com/PrefeituraDeParaDeMinas/videos/789973677819859/	facebook.com	2017-03-04T01:31:29+0000	1488591089	"2017-03-04 02:31:29"	20	6	20	11	37	6	6	0	0	0	20	0	0	0	0	0	0
video	post_page_148582598625640	148582598625640_789812221169338	https://www.facebook.com/148582598625640/posts/789812221169338	"Prefeitura segue com trabalho de recuperação das estradas rurais.  Melhorias no escoamento da água das chuvas é um dos diferenciais da ação.  Saiba mais: https://goo.gl/dzMtiq"	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/17091876_789814961169064_7312141457337352192_n.jpg?oh=219f42b8a89de47036ff25869c1ade74&oe=59CD0BB5	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/17091876_789814961169064_7312141457337352192_n.jpg?oh=c345ee8d551eb6c832edfc2710d614dc&oe=59CA1A0F	https://www.facebook.com/PrefeituraDeParaDeMinas/videos/789812221169338/	facebook.com	2017-03-03T18:23:19+0000	1488565399	"2017-03-03 19:23:19"	16	0	16	5	21	0	0	0	0	0	16	0	0	0	0	0	0
link	post_page_148582598625640	148582598625640_789310801219480	https://www.facebook.com/148582598625640/posts/789310801219480	"Funcionários da Secretaria de Obras terminaram a limpeza nesta tarde.  Saiba mais: https://goo.gl/wpqSvx"	https://external.xx.fbcdn.net/safe_image.php?d=AQB4nKl1QsoIWC8T&w=130&h=130&url=http%3A%2F%2Fwww.parademinas.mg.gov.br%2Fwp-content%2Fuploads%2F2017%2F03%2F20170302_142910.png&cfs=1&_nc_hash=AQC3bqzH9AiI3Brk	https://external.xx.fbcdn.net/safe_image.php?d=AQCEvlYiDajsJr1S&url=http%3A%2F%2Fwww.parademinas.mg.gov.br%2Fwp-content%2Fuploads%2F2017%2F03%2F20170302_142910.png&_nc_hash=AQA7jvsNFKqSrw3H	https://goo.gl/wpqSvx	goo.gl	2017-03-02T19:59:07+0000	1488484747	"2017-03-02 20:59:07"	15	1	15	5	21	1	1	0	0	0	15	0	0	0	0	0	0
video	post_page_148582598625640	148582598625640_789182131232347	https://www.facebook.com/148582598625640/posts/789182131232347	"Em audiência pública  prefeito defende gestão responsável dos recursos públicos.  Na Câmara Municipal  Elias Diniz revelou que Município está impedido de celebrar convênios devido a aplicação de recursos em valores inferiores  ao que manda a lei  na educação  em 2015.  Leia a matéria na íntegra: https://goo.gl/p49uMr"	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/17091809_789189214564972_8741369830277382144_n.jpg?oh=b4012ccefb1184ce0705c91bf7374bed&oe=59CAC9BC	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/17091809_789189214564972_8741369830277382144_n.jpg?oh=3b5add51286132ce9a9f5db6d40d0e17&oe=5A0D1006	https://www.facebook.com/PrefeituraDeParaDeMinas/videos/789182131232347/	facebook.com	2017-03-02T15:23:01+0000	1488468181	"2017-03-02 16:23:01"	14	0	14	14	28	0	0	0	0	0	14	0	0	0	0	0	0
link	post_page_148582598625640	148582598625640_789179071232653	https://www.facebook.com/148582598625640/posts/789179071232653	"#FiqueLigado  Para atender melhor os moradores do Residencial Cecília Meireles  a linha Padre Libério / Vila Maria foi estendida.  Mais informações: 37.3236.7066"	https://external.xx.fbcdn.net/safe_image.php?d=AQBQIpj_AZfcmP3j&url=https%3A%2F%2Fmedia.giphy.com%2Fmedia%2FwS1Gu9EKT7F9S%2Fgiphy.gif&_nc_hash=AQDoz8aZDmeaJpNS	https://external.xx.fbcdn.net/safe_image.php?d=AQBQIpj_AZfcmP3j&url=https%3A%2F%2Fmedia.giphy.com%2Fmedia%2FwS1Gu9EKT7F9S%2Fgiphy.gif&_nc_hash=AQDoz8aZDmeaJpNS	http://gph.is/2l1rash	gph.is	2017-03-02T14:15:59+0000	1488464159	"2017-03-02 15:15:59"	13	4	13	5	22	3	3	0	1	0	13	0	0	0	0	0	0
video	post_page_148582598625640	148582598625640_788829131267647	https://www.facebook.com/148582598625640/posts/788829131267647	"Praça Torquato de Almeida se transformou em salão de baile de carnaval.  Marchinhas antigas  confete e serpentina deram o clima de festa à Folia dos Fios Brancos.  Saiba mais: https://goo.gl/uvn9gy"	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/17037218_788831004600793_3824819229224337408_n.jpg?oh=6eb9785dfcaf3859b064dde7c328009a&oe=5A0D795E	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/17037218_788831004600793_3824819229224337408_n.jpg?oh=9642c158be1ed5f4009dbdb916fc451a&oe=59D38EE4	https://www.facebook.com/PrefeituraDeParaDeMinas/videos/788829131267647/	facebook.com	2017-03-01T19:55:53+0000	1488398153	"2017-03-01 20:55:53"	17	7	18	7	32	7	3	4	5	0	17	1	0	0	0	0	0
link	post_page_148582598625640	148582598625640_785255068291720	https://www.facebook.com/148582598625640/posts/785255068291720	"Diga aonde você vai... 🎶🎵  Em virtude do feriado de carnaval  nesta terça-feira (28/02) não haverá coleta de lixo e nem varrição das vias públicas. As atividades voltarão ao normal na quarta-feira (01/03)."	https://external.xx.fbcdn.net/safe_image.php?d=AQDglet_5HDpu9Ds&url=https%3A%2F%2Fmedia.giphy.com%2Fmedia%2FGvHP8VlRpVNm0%2Fgiphy.gif&_nc_hash=AQBLppRuiPgUv2N4	https://external.xx.fbcdn.net/safe_image.php?d=AQDglet_5HDpu9Ds&url=https%3A%2F%2Fmedia.giphy.com%2Fmedia%2FGvHP8VlRpVNm0%2Fgiphy.gif&_nc_hash=AQBLppRuiPgUv2N4	http://gph.is/2d8c9k1	gph.is	2017-02-27T12:00:03+0000	1488196803	"2017-02-27 13:00:03"	16	0	16	7	23	0	0	0	0	0	16	0	0	0	0	0	0
video	post_page_148582598625640	148582598625640_786085804875313	https://www.facebook.com/148582598625640/posts/786085804875313	"Folia dos Fios Brancos direto da Praça Torquato de Almeida. Corre pra cá! Ainda dá tempo!"	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/16977634_786091281541432_4346149484963561472_n.jpg?oh=658445b105ad0c69865fd09f048d4ae9&oe=5A0A8B65	https://scontent.xx.fbcdn.net/v/t15.0-10/16977634_786091281541432_4346149484963561472_n.jpg?oh=c220fdd29aba2a259fd7449529fd52a3&oe=59CE9788	https://www.facebook.com/PrefeituraDeParaDeMinas/videos/786085804875313/	facebook.com	2017-02-24T21:58:06+0000	1487973486	"2017-02-24 22:58:06"	75	14	89	7	110	12	12	0	6	0	75	10	0	3	0	1	0
video	post_page_148582598625640	148582598625640_786044234879470	https://www.facebook.com/148582598625640/posts/786044234879470	"Prefeitura entrega chaves do Residencial Cecília Meireles.  Emoção tomou conta dos beneficiários que finalmente estão de posse dos apartamentos.  Saiba mais: https://goo.gl/U9AeX2"	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/16977258_786065641543996_3071798959862185984_n.jpg?oh=1766d1b6ed1a929ad3c0b237cac1924c&oe=59D67AC0	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/16977258_786065641543996_3071798959862185984_n.jpg?oh=1c264494ba6a6f34950e1a91deed65e8&oe=5A0FE17A	https://www.facebook.com/PrefeituraDeParaDeMinas/videos/786044234879470/	facebook.com	2017-02-24T21:15:09+0000	1487970909	"2017-02-24 22:15:09"	54	5	55	25	85	4	4	0	6	0	54	1	0	0	0	0	0
link	post_page_148582598625640	148582598625640_786055791544981	https://www.facebook.com/148582598625640/posts/786055791544981	#Carnaval2017	https://external.xx.fbcdn.net/safe_image.php?d=AQAu_T4ER-sQYpCw&url=https%3A%2F%2Fmedia.giphy.com%2Fmedia%2FzUfrJZcvkrtv2%2Fgiphy.gif&_nc_hash=AQAPETbA_PWyWAfZ	https://external.xx.fbcdn.net/safe_image.php?d=AQAu_T4ER-sQYpCw&url=https%3A%2F%2Fmedia.giphy.com%2Fmedia%2FzUfrJZcvkrtv2%2Fgiphy.gif&_nc_hash=AQAPETbA_PWyWAfZ	http://gph.is/2lEidDy	gph.is	2017-02-24T20:42:37+0000	1487968957	"2017-02-24 21:42:37"	6	0	6	2	8	0	0	0	0	0	6	0	0	0	0	0	0
